person responsible,Status,signoff,contingencies,"Additional comments, e.g., image quality",Original visualization image in G Drive,Original Filename in G Drive,Final file for visualization submission after all revisions,hash_id,order,team,title,description,data_source,research_link_url,research_link_text,image
Alexia,Done,X AL,,,https://drive.google.com/file/d/1c2cdIEaVJ4Wp8_jI5EYLr8FJrlHnn74Y/view?usp=share_link,P2PE_322_vizhub2022.png,countries_diversify_industries_with_similar_occupational_inputs.png,countries_diversify_industries_with_similar_occupational_inputs,,Academic team,Countries are more likely to enter industries that require fewer new occupations,"Export diversification is key for development. Because industries differ largely in their occupational inputs and because in many countries the domestic population performs only a subset of occupations, export diversification typically requires training people in new occupations. Such training is costly and, hence, it is easier for a country to enter industries that rely more on occupations that the domestic population is already capable of performing. New Growth Lab research shows that this is indeed the case. It implies that a country’s export specialization can have long lasting consequences for its ability to diversify its economy, and provides potentially large scope for industrial policy to support entry into new industries.",Atlas trade data; BLS OES,https://growthlab.cid.harvard.edu/publications/simple-theory-economic-development-extensive-industry-margin,,P2PE_322_vizhub2022.png
Alexia,Done,X SG,Take out text for axis in middle and take out the node labels => send to Nil to redo manually,,https://drive.google.com/file/d/1jGNICxrhzLMfewMBHbukQIDF9ugJC9xN/view?usp=share_link,lhf_v_distancedecay.png,ethiopia_diversification_opportunities_vs_sensitivity_remoteness.png,ethiopia_diversification_opportunities_vs_sensitivity_remoteness,,Ethiopia,Ethiopia’s Diversification Opportunities vs. Sensitivity to Remoteness,"Ethiopia is a remote country. It is landlocked with large internal distances, limited transportation infrastructure, and neighboring countries have very low purchasing power. This graph plots potential diversification opportunities by their score on a complexity analysis that prioritizes products with similar capabilities required to those that Ethiopia has (y-axis) against how sensitive these products are to remoteness (x-axis). Many nearby diversification opportunities are very sensitive to remoteness (top right quadrant), indicating that producers may struggle to overcome transport costs to access inputs and reach markets. Only a narrower set of opportunities are more resilient to remote circumstances (top left quadrant).",UN Comtrade,,Ethiopia Research Compendium (may be online soon),ethiopia_diversification_opportunities_vs_sensitivity_remoteness.png
Alexia,Done,X SG,Nil to: Combine in one image file and the legel lables need to be redrawn,,https://drive.google.com/file/d/1zhKvcF1aYfM32TSQMNzOCaKA0IukJLSa/view?usp=share_link,FX_sources.png,official_vs_black_market_exchange_rate_ethiopian_importers.png,official_vs_black_market_exchange_rate_ethiopian_importers,,Ethiopia,Official vs. Black-Market Exchange Rate Usage by Ethiopian Importers,"The Growth Lab project in Ethiopia partnered with the Ethiopian Economics Association to conduct a survey of importers to understand business practices in the context of a binding foreign exchange constraint and to quantify macroeconomic variables important for policymaking. The survey revealed, among other things, that firms tend to exclusively utilize either the official market for foreign exchange or the black market, though some use a mix of both. Large firms are more likely to access foreign exchange through the official market (at a more desirable exchange rate), while other firms are more likely to turn to the black market (and a less favorable exchange rate) because they cannot access foreign exchange through official channels.",Growth Lab / Ethiopian Economics Association Importer Survey,https://growthlab.cid.harvard.edu/policy-research/ethiopia,Ethiopia Importer Survey (may be online soon),official_vs_black_market_exchange_rate_ethiopian_importers.png
Alexia,Need to add labels for states and color legend,,Add state boundaries to all states (Wyoming & neighbouring) ,,https://drive.google.com/file/d/113UppRgaFQi0-oP4rxl6VM1j5m6aumqC/view?usp=share_link,remote1921.png,,remote_work_across_commuting_zones_wyoming,,Wyoming,Remote Work across Commuting Zones (% of total employed) in 2019 and 2021,"These maps show the share of self-reported remote workers at the commuting zone level for 2019 and 2021 in Wyoming and surrounding states. Before the pandemic, very few people were working remotely across the region. Remote work grew enormously in many places by 2021, creating significant variation across commuting zones. The commuting zones of Wyoming range between a minimum estimate of 7.1% in Rawlins and a maximum of 10.9% in Laramie. The commuting zones with the highest share of remote workers are Denver (28%) and Fort Collins (21%) in Colorado and Provo (21%) and Salt Lake City (21%) in Utah. All these commuting zones include larger urban agglomerations, which have tended to support more remote work globally.",American Community Survey,N/A,,remote1921.png
Alexia,Done,X SG,"RH: colors need to indicate the share of professionals in the total employment; put color background for quadrant behind the circles, not mixed",,https://drive.google.com/file/d/1Z4zORaNz1qqmGq65PZ0PFPIi3fD8ymwY/view?usp=share_link,kaz_sector_growth_prof.png,sector_growth_sector_share_specialist_professionals_kazakhstan.png,sector_growth_sector_share_specialist_professionals_kazakhstan,,Kazakhstan,"Sector growth vs. growth in the sector share of specialist-professionals 2016-2019, percent",This graph represents the GDP growth of Kazakhstan economic sectors as well as the growth in the share of professional occupations in the workforce of these sectors. It shows that sectors that grew the most tend to also have witnessed a high increase in the share of professionals in their workforce. The graph suggests that the country experienced a skills-biased growth. The size of bubbles is proportional to the sector’s 2019 GDP.,Bureau of National Statistics of Kazakhstan,https://growthlab.cid.harvard.edu/policy-research/kazakhstan,,sector_growth_sector_share_specialist_professionals_kazakhstan.png
Alexia,Updated version in temp folder + sent red line clarfication + y axis,,RH: needs legend showing which country is which color,,https://drive.google.com/file/d/1r8Z5KI7S1gr4vc8okrmHrJBtiLfNXWz3/view?usp=share_link,povcal_val.jpg,,south_africa_income_consumption_deciles,,South Africa,"Rich as the richest, poor as the poorest: inequality in South Africa","This graph shows the distribution of average monthly per capita consumption by consumption decile for all countries in the world, highlighting South Africa, Greece, and Comoros. The graph shows how unequal South Africa is. The poorest in South Africa (1st decile) are as poor as the poorest in Cameroon a country that is much poorer than South Africa in terms of overall GDP per capita. But the richest in South Africa (10th decile) are as rich as the richest in Greece, a country with a much higher GDP per capita.",https://growthlab.cid.harvard.edu/policy-research/south-africa,,,povcal_val.jpg
FB,Done,FB,,,https://drive.google.com/file/d/1BtidKiMeb1hiLK1I80Df78cI-Gls0RVb/view?usp=share_link,kaz_nonmin_prod_intro_pc_copy.png,competitive_non-mineral_exports_per_capita_kazakhstan.png,competitive_non-mineral_exports_per_capita_kazakhstan,,Kazakhstan,"Competitive Non-Mineral Exports Per Capita by Product Year of Introduction, 2019","Kazakhstan’s export basket remains concentrated in many of the same products as were prominent two decades earlier. The country had a comparative advantage in very few non-mineral products that were first introduced intensively after 2000. In 2019, non-mineral exports per capita were $875, and approximately $610 of this is comprised of products for which Kazakhstan has a global comparative advantage. This contrasts with other major oil exporters such as the UAE, Oman, Kuwait, who not only export much higher values of non-mineral products per capita, but who have also more rapidly diversified and expanded their non-mineral exports in the last two decades to have a comparative advantage in many chemicals, processed metals, transportation equipment, and other products.","Atlas of Economic Complexity, World Bank WDI, and author's calculations",N/A,,competitive_non-mineral_exports_per_capita_kazakhstan.png
FB,Done,X SG,RH: clean up 45 degree line,,https://drive.google.com/file/d/1uUHPHpf4CZcF_KoLm64kwe7JXB-e3_KR/view?usp=share_link,Afcfta_ECI.png,complexity_intra-african_exports_vs_outside_markets.png,complexity_intra-african_exports_vs_outside_markets,,Ethiopia,Complexity of Intra-African Exports vs. Outside Markets,"The Growth Lab has consistently found that lower complexity economies export their highest complexity products to other lower complexity countries. Given transportation constraints, these markets are often neighbors or otherwise geographically nearby. This graph shows that this pattern holds within Africa by comparing the complexity of the export basket of each African country to the rest of Africa (y-axis) versus the complexity of the export basket to markets beyond Africa (x-axis). Except for Djibouti and Eswatini, exports that remain within Africa are more complex than those that leave Africa for every nation. This has important implications for the Africa Continental Free Trade Area (AfCFTA) and export strategies of countries.",Atlas of Economic Complexity,https://growthlab.cid.harvard.edu/policy-research/ethiopia,Ethiopia project web page (loosely),complexity_intra-african_exports_vs_outside_markets.png
FB,Done but may need higher resolution,? SG,"RH: needs clarification if these are roads/tertiary roads; only display data every 10 years, not every year; axes need to be cleaned up",,https://drive.google.com/file/d/15vOEB3kTZlkgeKl3jAtjOGU23hpUKiui/view?usp=share_link,Deforestation_moving_into_the_forest_from_roads.png,,deforestation_moving_inwards_into_forest_from_roads,,Colombia Amazonia,Deforestation moving inwards into the forest from roads,"Deforestation in the Colombian Amazon has been increasingly concentrated along tertiary roads, and this chart highlights this association by utilizing a cumulative distribution function. This chart measures how the distance of tree cover loss incidents and the road network has changed over time and find that 80% of deforestation in the Colombian Amazon occurred within 7.2 km of roads.","Global Forest Watch (Year of forest loss), OpenStreetMaps / INVIAS (Road network)",N/A,,deforestation_moving_inwards_into_forest_from_roads.png
FB,Done,X SG,RH: needs legend; colors should be the regions,,https://drive.google.com/file/d/1UnvCNoh9JcDfITssNkXeV505UuMptV2o/view?usp=share_link,Manufacturing_Country_Space__2019_.png,,manufacturing_country_space,,South Africa,Manufacturing Country Space (2019),"The Manufacturing Exports Country Space is a network of countries connected by a measure of the relatedness of their manufacturing exports in 2019. This network could be thought of as the inverse of the Product Space, which shows the links between products with respect to their co-location in countries. We constructed the network by considering only manufacturing HS products at the 4-digit level. The relatedness was estimated by calculating the cosine similarity of the matrix of countries and their manufacturing exports and selecting the two most similar partners to each country (Hausmann et al., 2021).  The size or weight of the edges correspond to their similarity value. The countries are colored by regions. The network shows that South Africa is in a cluster of countries for which manufacturing is heavily oriented towards metals and products related to the mining and energy industries, consistent with the literature on the structure of South African manufacturing. Furthermore, these countries’ economic complexity has been decreasing over time, which suggests that they are facing similar bottlenecks in terms of diversification of productive capabilities.",,,,manufacturing_country_space.png
